,Species,Color,Processing Method,Country of Origin,Region,Producer,Harvest Year,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Clean Cup,Sweetness,Cupper Points,Total Cup Points,Moisture,Category One Defects,Quakers,Category Two Defects,unit_of_measurement,altitude_low_meters,altitude_high_meters,altitude_mean_meters
24,Arabica,,Washed / Wet,United States,antioquia,Silvia Elena Higuita,2014,8.25,8.33,8.17,8.17,7.83,8.17,10,10,10,8.17,87.08,0,0,0,0,m,2112,2112,2112
25,Arabica,Bluish-Green,Natural / Dry,Ethiopia,sidamo,,2013,8.42,8.17,7.92,8.17,8.33,8,10,10,10,8.08,87.08,0.11,0,0,1,m,NA,NA,NA
26,Arabica,Green,Natural / Dry,Brazil,south of minas,Ralph Junqueira,2011,8.5,8.5,8,8,8,8,10,10,10,7.92,86.92,0.12,0,0,2,m,1250,1250,1250
27,Arabica,,,Ethiopia,sidamo,Green Gold Ethiopia | Phone: 0114342032,2010,7.83,8.25,8.08,8.17,8.17,8.17,10,10,10,8.25,86.92,0.05,0,0,2,m,NA,NA,NA
28,Arabica,Green,Washed / Wet,Uganda,kapchorwa eastern,Kabum trading company,2013,8.42,8.17,8.17,8.17,7.83,7.92,10,10,10,8.17,86.83,0.12,0,0,1,m,1950,1950,1950
29,Arabica,Green,,Honduras,comayagua,Reinerio Zepeda,2016,8.17,8.08,8.08,8,8.08,8,10,10,10,8.25,86.67,0.1,0,0,3,m,1400,1400,1400
30,Arabica,Green,Pulped natural / honey,Taiwan,"leye, alishan township, chiayi county","FANG,ZHENG-LUN 方政倫",2015,8,8,8,8.25,8,8.17,10,10,10,8.17,86.58,0,0,0,0,m,1200,1200,1200
31,Arabica,,,Nicaragua,,,,7.92,8.25,8,8.33,8,8.08,10,10,10,8,86.58,0.08,0,0,2,m,NA,NA,NA
32,Arabica,Bluish-Green,Natural / Dry,"Tanzania, United Republic Of",,,2012,8.42,8.17,8.17,8,7.58,8,10,10,10,8.17,86.5,0.11,0,0,1,m,NA,NA,NA
33,Arabica,Green,Natural / Dry,Brazil,vale da grama,Homero Texeira de Macedo Junior,2011,8.5,8.17,8,7.75,8,8,10,10,10,8,86.42,0.12,0,0,2,m,1300,1300,1300
34,Arabica,Blue-Green,Washed / Wet,Costa Rica,west and central valley,Exclusive Coffees S.A.,2016,8.17,7.83,8,8.08,7.83,8,10,10,10,8.42,86.33,0,0,0,0,m,1300,1300,1300
35,Arabica,Green,Natural / Dry,Ethiopia,oromia,Haider Abamecha Abadiko,2014,8,8.08,7.92,8,8.08,8.08,10,10,10,8.08,86.25,0.1,0,0,3,m,1750,1800,1775
36,Arabica,Blue-Green,Washed / Wet,Kenya,muranga,Kangunu,2013,8.08,8,8,8.25,7.92,7.92,10,10,10,8.08,86.25,0.12,0,0,1,m,1800,1800,1800
37,Arabica,,Natural / Dry,United States (Hawaii),kona,,2012,8.08,8.17,8,7.92,7.92,7.83,10,10,10,8.33,86.25,0,1,0,4,ft,NA,NA,NA
38,Arabica,,,United States (Hawaii),kona,Kona Pacific Farmers Co-Op,2010,8.25,8.42,8.08,7.75,7.67,7.83,10,10,10,8.25,86.25,0,2,0,1,ft,NA,NA,NA
39,Arabica,,,Ethiopia,yirgacheffe,Contact name | ATO Teshome Belamo,2010,7.92,7.75,8.08,8.08,8.08,8.17,10,10,10,8.17,86.25,0.1,0,0,2,m,NA,NA,NA
40,Arabica,,Washed / Wet,United States,antioquia,Hugo Sepúlveda Montoya,2014,7.67,8.17,8,8,8.17,8.08,10,10,10,8.08,86.17,0,0,0,0,m,1941,1941,1941
41,Arabica,Green,Washed / Wet,Thailand,chiang rai,ITDP,2012,7.83,8.33,7.83,8.25,7.58,7.92,10,10,10,8.42,86.17,0.1,1,0,9,m,1300,1300,1300
42,Arabica,,,Brazil,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,2010,8.17,7.92,7.92,7.75,8.33,8,10,10,10,8.08,86.17,0.08,0,0,2,m,12,12,12
43,Arabica,,,Brazil,sul de minas - carmo de minas,Maria Rogeria Costa Pereira,2010,8.42,7.92,8,7.75,7.92,8,10,10,10,8.17,86.17,0.01,0,0,3,m,12,12,12
44,Arabica,Green,Semi-washed / Semi-pulped,Taiwan,natou county,LIN YEN CHIEN 林言謙,2015,8.08,8.17,7.75,8.08,7.75,7.83,10,10,10,8.42,86.08,0.12,0,0,0,m,1000,1000,1000
45,Arabica,Bluish-Green,Natural / Dry,Kenya,nyeri,JUNGLE ESTATE,2014,8.08,8.08,8,8,7.83,8.08,10,10,10,8,86.08,0.11,0,0,2,m,1754,1754,1754
46,Arabica,Blue-Green,Semi-washed / Semi-pulped,Brazil,south of minas,Ralph Junqueira,2011,8.33,8,8,8,7.75,8,10,10,10,8,86.08,0.11,0,0,2,m,1250,1250,1250
47,Arabica,,Semi-washed / Semi-pulped,Uganda,eastern uganda,Kaasay Farmer Group,2014,8.08,8.08,7.83,7.92,8.08,7.92,10,10,10,8.08,86,0,0,0,0,m,NA,NA,NA
48,Arabica,Green,Washed / Wet,Colombia,tolima,,2013,7.75,7.92,7.83,8.08,8.08,8.17,10,10,10,8.17,86,0.12,1,0,1,m,900,1500,1200
49,Arabica,Green,Washed / Wet,Kenya,kiambu,,2013,7.92,8.17,7.83,8.5,7.5,7.92,10,10,10,8.17,86,0.11,0,0,1,m,1520,2200,1860
50,Arabica,Blue-Green,Washed / Wet,Uganda,"sipi, mt elgon",Kawacom,2012,8.25,8,7.83,8.08,8,7.92,10,10,10,7.92,86,0.1,0,0,0,m,1400,1900,1650
51,Arabica,,,Ethiopia,sidamo,Sidama Coffee Farmers Coop. Union,2009,7.75,8.08,8,8.25,8,8,10,10,10,7.92,86,0.01,0,0,4,m,1500,2000,1750
52,Arabica,,,United States (Hawaii),kona,Hula Daddy Kona Coffee,Fall 2009,8.33,8.17,7.75,8,7.75,7.83,10,10,10,8.17,86,0,0,0,0,ft,426.72,426.72,426.72
53,Arabica,Green,Washed / Wet,Guatemala,nuevo oriente,MARGARITA AVILA DE NUYENS,2016,7.92,8.08,7.92,8.08,8.08,7.83,10,10,10,8,85.92,0.1,0,1,3,m,NA,NA,NA
54,Arabica,Green,Natural / Dry,Uganda,eastern,Kawacom (U)Ltd,2013,8.17,8.17,7.92,8.08,7.83,7.75,10,10,10,8,85.92,0.12,0,0,0,m,1400,1900,1650
55,Arabica,Blue-Green,Washed / Wet,Colombia,huila,,2013,8,8,8,8.17,7.83,8,10,10,10,7.92,85.92,0,1,0,0,m,1800,1800,1800
56,Arabica,Bluish-Green,Washed / Wet,Panama,boquete,Plinio Ruiz,2017,8,8,7.92,8.08,7.83,8,10,10,10,8,85.83,0.08,0,1,0,m,1600,1600,1600
57,Arabica,Green,Washed / Wet,Ethiopia,oromia,Ibrahim Hussien Specialty Coffee Producer and Exporter,2014,7.83,8.08,7.92,8.08,8,7.92,10,10,10,8,85.83,0.1,0,0,4,m,1800,2000,1900
58,Arabica,Green,Washed / Wet,Guatemala,acatenango,SERTRASA,2012,7.83,8,8,8.17,7.83,8,10,10,10,8,85.83,0.12,0,0,3,ft,1524,1524,1524
59,Arabica,Bluish-Green,Washed / Wet,Guatemala,nuevo oriente,WILLIAM ESTUARDO MARTINEZ PACHECO,2012,8,8,7.83,8.33,7.83,7.83,10,10,10,8,85.83,0.1,0,0,1,ft,1417.32,1417.32,1417.32
60,Arabica,None,Natural / Dry,Ethiopia,addis ababa,seid damtew coffee export and plantation,2017,7.83,8,7.83,8.17,7.92,8,10,10,10,8,85.75,0.09,0,4,7,m,NA,NA,NA
61,Arabica,Green,Washed / Wet,Peru,cajamarca,,2013,8,8,8,8.08,7.92,7.75,10,10,10,8,85.75,0.1,4,0,6,m,NA,NA,NA
62,Arabica,Bluish-Green,Washed / Wet,Papua New Guinea,eastern highlands province,"Colbran CoffeeLands, Ltd.",2012,8.33,8.42,7.83,8.33,8,8.25,9.33,9.33,10,7.92,85.75,0.12,0,0,1,m,1700,1700,1700
63,Arabica,Blue-Green,Washed / Wet,El Salvador,apaneca,Aida Batlle,2013,7.92,8.17,8,7.92,7.75,7.83,10,10,10,8,85.58,0.1,0,0,3,m,1500,1500,1500
64,Arabica,None,Semi-washed / Semi-pulped,El Salvador,"ataco, apaneca - ilamatepec mountain range",Oscar Roberto Murgas Linares,2012,7.83,8,8,7.75,7.92,8.17,10,10,10,7.92,85.58,0.11,0,0,0,m,1300,1400,1350
65,Arabica,,Natural / Dry,United States (Hawaii),kona,,2012,7.83,8,7.92,7.75,8.08,8,10,10,10,8,85.58,0,0,0,1,ft,NA,NA,NA
66,Arabica,,Natural / Dry,Panama,boquete,Lamastus,2014,8,7.75,7.83,7.83,7.67,8.58,10,10,10,7.83,85.5,0.09,2,0,2,m,1680,1680,1680
67,Arabica,Green,Natural / Dry,Kenya,kirinyaga,,2014,7.92,7.92,7.83,8.08,7.83,7.92,10,10,10,8,85.5,0.1,0,0,3,m,1900,1900,1900
68,Arabica,Green,Natural / Dry,Ethiopia,oromia,Assefa Belay Coffee Producer,2015,7.83,8,7.83,7.92,7.83,8.08,10,10,10,8,85.5,0.12,0,0,7,m,1800,2000,1900
69,Arabica,Green,Washed / Wet,Uganda,bulambuli eastern region,Kyagalanyi coffee Ltd,2013,8.33,7.92,7.67,7.92,7.67,7.92,10,10,10,8.08,85.5,0.12,0,0,1,m,1600,1600,1600
70,Arabica,Green,Washed / Wet,Guatemala,huehuetenango,ASOCIACION DE PERMACULTORES DE CUILCO (SANTOS LOPEZ MEJIA),2013,8,7.83,7.67,8.33,7.83,8,10,10,10,7.83,85.5,0.11,0,0,1,ft,1706.88,1755.648,1731.264
71,Arabica,Green,Washed / Wet,Ethiopia,oromia,Assefa Belay Coffee Producer,2015,7.75,7.83,7.83,8.17,7.92,7.83,10,10,10,8.08,85.42,0.1,0,0,18,m,1800,2000,1900
72,Arabica,Green,Washed / Wet,Uganda,kapchorwa,Chesiyo Farmer group,2013,8.08,8,7.83,7.67,8,7.83,10,10,10,8,85.42,0.12,0,0,5,m,1950,1950,1950
73,Arabica,,Natural / Dry,United States (Hawaii),kona,,2012,7.92,7.92,7.75,7.92,7.75,7.92,10,10,10,8.25,85.42,0,4,0,6,ft,NA,NA,NA
74,Arabica,Blue-Green,Semi-washed / Semi-pulped,Brazil,south of minas,José Vagner Ribeiro Junqueira,2011,8,8,8,7.67,7.75,8,10,10,10,8,85.42,0.11,0,0,1,m,1250,1250,1250
75,Arabica,,,El Salvador,apaneca,J. Hill y Cia SA de CV,2009,8.08,7.83,7.83,8.08,7.83,7.83,10,10,10,7.92,85.42,0.01,0,0,0,m,1400,1400,1400
76,Arabica,Green,Natural / Dry,China,yunnan,Pu'er City Longke Coffee Co.Ltd,2015,8,8,8,7.83,7.83,7.75,10,10,10,7.92,85.33,0.1,0,0,0,m,1700,1700,1700
77,Arabica,Green,Natural / Dry,Guatemala,huehuetenango,Arturo Aguirre,2014,7.83,7.75,7.83,7.67,7.83,8.58,10,10,10,7.83,85.33,0.11,0,0,1,m,1770,1770,1770
78,Arabica,Bluish-Green,Washed / Wet,Costa Rica,west valley,Cafe Altura de San Ramon,2014,7.92,8.08,8,7.92,8,8.08,10,10,9.33,8,85.33,0,0,0,0,m,1300,1300,1300
79,Arabica,Bluish-Green,Washed / Wet,Costa Rica,san ramon,SEVERAL,2014,8,7.58,7.58,7.67,8.08,8.5,10,10,10,7.92,85.33,0.1,0,0,2,m,1300,1300,1300
80,Arabica,Green,Washed / Wet,Kenya,central kenya,Kianjogu - Rutuma F.C.S. Ltd.,2012,7.83,8.08,7.75,8.08,7.92,7.75,10,10,10,7.92,85.33,0,0,0,2,m,1600,1600,1600
81,Arabica,Green,Washed / Wet,Kenya,central kenya,Blend from various Producers,2012,8,7.92,7.92,8.08,7.83,7.75,10,10,10,7.83,85.33,0,0,0,6,m,1200,1200,1200
82,Arabica,,,Ethiopia,yirgacheffe,"Contact name | Egziabhez Mezgebe, GMT Industrial Plc",2009,7.83,7.83,7.92,8.08,7.75,7.83,10,10,10,8.08,85.33,0.05,0,0,2,m,NA,NA,NA
83,Arabica,,,Ethiopia,yirgacheffe,Contact name | Hailu Gebre Hiwot,2009,7.92,7.83,7.75,8.33,7.75,7.75,10,10,10,8,85.33,0.1,0,0,3,m,NA,NA,NA
84,Arabica,Green,,Guatemala,oriente,MARGARITA AVILA DE NUYENS,2016,8,7.92,7.75,8,7.92,7.83,10,10,10,7.83,85.25,0.1,0,2,2,m,NA,NA,NA
85,Arabica,Green,Washed / Wet,Colombia,santander,varios,2015,8.17,7.92,7.83,8,7.58,7.83,10,10,10,7.92,85.25,0.11,0,0,0,m,1550,1550,1550
86,Arabica,Green,Natural / Dry,Colombia,santander,,2014,7.58,8.08,7.92,7.83,8,7.92,10,10,10,7.92,85.25,0.12,0,0,2,m,1550,1550,1550
87,Arabica,Green,Semi-washed / Semi-pulped,Indonesia,lintong,,2012,7.75,7.83,7.67,8,8.08,7.83,10,10,10,8,85.17,0.11,0,0,3,m,1250,1400,1325
88,Arabica,,Washed / Wet,Guatemala,huehuetenango,Coop. Hoja Blanca - Fedecocagua,2012,8.25,8,7.67,7.92,7.75,7.67,10,10,10,7.92,85.17,0,0,0,7,m,1400,1400,1400
89,Arabica,Green,Natural / Dry,Ethiopia,"kefa zone, gimbo distict, at a place called woka araba, south west ethiopia.",SEID DAMTEW COFFEE PLANATION,2016,7.75,8,7.58,8,8,7.92,10,10,10,7.83,85.08,0.11,0,1,8,m,NA,NA,NA
90,Arabica,,Natural / Dry,Colombia,pasto,JOSE ALBEIRO GOMEZ / LUIS JABER REALPE,2015,8.17,7.83,7.58,8.08,8,7.75,10,10,10,7.67,85.08,0,0,0,0,m,2560,2560,2560
91,Arabica,Green,Natural / Dry,Ethiopia,aricha,BNT,2014,8.42,8,7.42,8,7.92,7.92,9.33,10,10,8.08,85.08,0.1,2,0,7,m,1700,1700,1700
92,Arabica,Bluish-Green,Natural / Dry,United States (Hawaii),kona,,2014,7.58,7.83,7.83,7.92,7.83,8.17,10,10,10,7.92,85.08,0.11,2,0,2,ft,NA,NA,NA
93,Arabica,Green,Natural / Dry,Colombia,cundinamarca,ORLANDO ORTIZ /WILSON ORTIZ/GILBERTO ACOSTA,2012,7.83,8,7.75,7.75,7.83,7.83,10,10,10,8.08,85.08,0.11,0,0,8,m,2136,2136,2136
94,Arabica,,,United States (Hawaii),kona,Kona Pacific Farmers Cooperative,2010,8.08,8.17,7.92,8,8.08,8,9.33,9.33,10,8.17,85.08,0.01,1,0,7,ft,NA,NA,NA
95,Arabica,,,Ethiopia,sidamo,Exporter Name | Muluneh Kaka | Phone: 0114390290,2010,7.67,8,7.83,8,7.92,7.83,10,10,10,7.83,85.08,0,0,0,5,m,NA,NA,NA
96,Arabica,,,United States (Hawaii),kona,,,7.5,7.92,8.25,7.83,7.92,7.75,10,10,10,7.92,85.08,0,0,0,0,ft,NA,NA,NA
97,Arabica,Green,Washed / Wet,Uganda,eastern uganda,Kyagalanyi Coffee Ltd,2016,8.17,7.92,7.75,7.75,7.67,7.75,10,10,10,8,85,0.11,0,0,1,m,1800,1800,1800
98,Arabica,Green,Washed / Wet,Colombia,huila,La Plata,2016,8,7.92,7.75,7.92,7.75,7.83,10,10,10,7.83,85,0,0,0,3,m,NA,NA,NA
99,Arabica,Green,Washed / Wet,Costa Rica,tarrazu,Manuel Montero,2016,7.83,8,7.58,7.92,7.92,7.83,10,10,10,7.92,85,0.12,1,1,1,m,1900,1900,1900
100,Arabica,Green,Washed / Wet,Mexico,veracruz,Varios productores minifundistas,2015,7.83,8,7.83,7.75,7.67,7.83,10,10,10,8.08,85,0.09,0,0,3,m,1300,1300,1300
101,Arabica,Green,Washed / Wet,Kenya,,,2015,8.17,7.83,7.92,7.75,7.67,7.83,10,10,10,7.83,85,0.11,0,5,7,m,1,1,1
102,Arabica,Green,Washed / Wet,Kenya,central kenya,,2012,7.75,7.83,7.75,8.08,8,7.75,10,10,10,7.83,85,0,0,0,5,m,1580,1580,1580
103,Arabica,Green,Natural / Dry,Brazil,grama valley,Idalina M. De Andrade Ferreira,2012,8,8,7.83,7.83,7.67,7.67,10,10,10,8,85,0.12,0,0,3,m,1100,1100,1100
104,Arabica,,,Mexico,mexico,Finca Kassandra,2010,7.92,8.17,7.75,8.08,7.42,7.83,10,10,10,7.83,85,0,0,0,0,m,1400,1400,1400
105,Arabica,,,United States (Hawaii),kona,,,7.75,7.92,7.75,7.75,8,8,10,10,10,7.83,85,0,0,0,1,ft,NA,NA,NA
106,Arabica,,,Guatemala,"chuva, san marcos",Federico Weller,2009,7.83,8.08,7.67,8,7.75,7.67,10,10,10,8,85,0.04,0,0,1,ft,1066.8,1584.96,1325.88
107,Arabica,,Washed / Wet,Colombia,huila,La Plata,2016,7.92,7.92,7.67,7.83,7.92,7.83,10,10,10,7.83,84.92,0,1,6,2,m,NA,NA,NA
108,Arabica,Green,Washed / Wet,Colombia,huila,La Plata,2015,7.92,7.83,7.75,7.83,7.75,8,10,10,10,7.83,84.92,0.12,0,0,1,m,1600,1950,1775
109,Arabica,Green,Semi-washed / Semi-pulped,Taiwan,natou county,SU CHUEN SHIAN 蘇春賢,2015,7.67,7.83,8,7.58,8,7.92,10,10,10,7.92,84.92,0.11,0,0,0,m,800,800,800
110,Arabica,Green,Washed / Wet,"Tanzania, United Republic Of",mbeya,Hasambo AMCOS,2014,8,7.83,7.83,7.92,7.75,7.75,10,10,10,7.83,84.92,0.12,0,0,2,m,1620,1620,1620
111,Arabica,Green,Washed / Wet,Colombia,huila,LA PLATA,2012,7.75,7.92,7.83,7.75,7.75,8,10,10,10,7.92,84.92,0.11,0,0,3,m,1600,1950,1775
112,Arabica,,Semi-washed / Semi-pulped,Mexico,coatepec,ARTEMIO ZAPATA TEJEDA,2012,7.75,8,7.75,7.83,7.5,7.92,10,10,10,8.17,84.92,0.11,0,0,0,m,1200,1200,1200
113,Arabica,Green,Natural / Dry,Brazil,south of minas,Glaucio Carneiro Pinto,2011,8,7.92,7.75,7.75,8,7.75,10,10,10,7.75,84.92,0.11,0,0,2,m,1200,1200,1200
114,Arabica,Green,Natural / Dry,Brazil,south of minas,Ricardo Luiz Ferreira,2011,8,8,7.75,8,7.5,7.75,10,10,10,7.92,84.92,0.12,0,0,2,m,1000,1000,1000
115,Arabica,,,Kenya,,,2009,8,7.67,7.83,8.17,7.92,7.75,10,10,10,7.58,84.92,0.06,1,0,9,m,NA,NA,NA
116,Arabica,Green,Natural / Dry,Taiwan,"dongshan dist., tainan city 臺南市東山區",Wang Chao Yung 王超永,2016,7.92,7.58,7.83,7.83,7.83,7.83,10,10,10,8,84.83,0,0,0,0,m,350,350,350
117,Arabica,Green,Natural / Dry,Uganda,eastern,Sipi organic coffee project,2013,7.75,7.92,7.67,7.67,8.25,7.75,10,10,10,7.83,84.83,0.12,0,0,1,m,1400,1900,1650
118,Arabica,,Natural / Dry,United States (Hawaii),kona,,2012,7.67,7.75,7.75,7.75,7.83,8,10,10,10,8.08,84.83,0,3,0,15,ft,NA,NA,NA
119,Arabica,,,Ethiopia,sidamo,Sidama Coffee Farmers Coop. Union,2009,7.75,7.92,7.83,7.92,7.75,7.67,10,10,10,8,84.83,0.1,0,0,2,m,1500,2000,1750
120,Arabica,,,Ethiopia,sidamo,Sidama Coffee Farmers Coop. Union,2009,7.42,7.92,7.92,8,7.83,7.83,10,10,10,7.92,84.83,0.1,0,0,4,m,1500,2000,1750
121,Arabica,Green,Pulped natural / honey,Thailand,thailand,Matsuzawa Coffee,2015,7.75,7.75,7.75,7.75,8,7.75,10,10,10,8,84.75,0.12,0,0,0,m,NA,NA,NA
122,Arabica,Green,Washed / Wet,Kenya,nyeri,KARATINA,2014,7.92,7.83,7.58,7.92,7.75,7.83,10,10,10,7.92,84.75,0.13,0,0,0,m,1800,1800,1800
123,Arabica,Green,Washed / Wet,Honduras,marcala,Omar Acosta,2014,7.83,7.75,8,7.67,7.67,7.67,10,10,10,8.17,84.75,0.11,0,0,4,m,1450,1450,1450
124,Arabica,,,El Salvador,santa ana,Several producers,2010,7.75,8,8,8.33,7.67,7.92,10,10,9.33,7.75,84.75,0.15,0,0,3,m,1200,1200,1200
125,Arabica,,,Nicaragua,jinotega,Juan Alvaro Munguia,2009,7.83,7.58,7.58,7.83,7.75,7.67,10,10,10,8.5,84.75,0.18,0,0,2,m,800,1050,925
126,Arabica,Blue-Green,Washed / Wet,El Salvador,apaneca,J.J. Borja Nathan,2016,7.83,7.83,7.5,8,7.83,7.67,10,10,10,8,84.67,0,0,0,2,m,1350,1350,1350
127,Arabica,Green,Washed / Wet,Indonesia,"temanggung, indonesia",PT. Shriya Artha Nusantara,2016,7.92,7.83,7.75,7.75,7.75,7.75,10,10,10,7.92,84.67,0.12,0,0,7,m,1200,1200,1200
128,Arabica,Green,Pulped natural / honey,Japan,ada okinawa japan,Taijiro TOKUDA,,7.75,7.75,7.75,7.42,8.08,7.83,10,10,10,8.08,84.67,0.12,0,0,0,m,170,170,170
129,Arabica,Blue-Green,Washed / Wet,Costa Rica,tarrazu,Johanna,2015,8.08,7.75,7.67,7.83,7.5,7.92,10,10,10,7.92,84.67,0.1,0,0,2,m,1150,1150,1150
130,Arabica,Green,Washed / Wet,Guatemala,acatenango,JUAN BOCK,2015,7.75,7.83,7.58,8,7.92,7.75,10,10,10,7.83,84.67,0.1,0,0,1,m,1600,1600,1600
131,Arabica,Green,Washed / Wet,Costa Rica,tarrazu,Coopetarrazú,2014,8.17,8,7.83,7.17,7.83,7.75,10,10,10,7.92,84.67,0.12,0,0,0,m,1750,1750,1750
132,Arabica,,Washed / Wet,Ethiopia,yirgacheffe,Moplaco,2014,8.08,7.83,7.75,7.83,7.58,7.67,10,10,10,7.92,84.67,0.1,0,0,3,m,1900,1900,1900
133,Arabica,Green,Other,Costa Rica,costa rica,Maria Elena Castro,2014,7.67,7.58,7.75,7.75,7.67,8.58,10,10,10,7.67,84.67,0.08,0,0,1,m,1750,1750,1750
134,Arabica,Green,Washed / Wet,Costa Rica,west valley,CORICAFE BLEND,2014,8,7.58,7.83,7.75,7.75,7.75,10,10,10,8,84.67,0.11,0,0,4,m,1200,1200,1200
135,Arabica,Green,Washed / Wet,Costa Rica,,,2012,8.08,7.83,7.75,7.83,7.92,8,10,10,9.33,7.92,84.67,0,1,0,10,m,NA,NA,NA
136,Arabica,Green,Washed / Wet,Taiwan,taichung xinshe 台中市新社區,Gu yong long 古永龍,2013,8,7.92,7.75,7.75,7.75,7.75,10,10,10,7.75,84.67,0.11,0,0,0,m,1000,1000,1000
137,Arabica,Green,Washed / Wet,Colombia,santander,,2013,7.75,7.83,7.75,7.83,7.75,7.83,10,10,10,7.92,84.67,0,0,0,0,m,1550,1550,1550
